FillNumber,RunNumber,RtsStatus,ShiftStatus,RunType,BeginRunTime,TotalRunTime,nEvents,nFiles
18754.0,16066050,0,0,3,2015-03-08 00:56:29,1818,3466216,321
18754.0,16066051,0,0,3,2015-03-08 01:27:38,2398,4550656,385
18754.0,16066052,0,0,3,2015-03-08 02:08:33,1843,3546845,312
18754.0,16066053,0,0,3,2015-03-08 02:40:10,1586,2992714,268
18754.0,16066054,0,0,3,2015-03-08 03:07:30,1286,2473713,227
18754.0,16066055,0,0,3,2015-03-08 03:38:55,1651,3062565,284
18754.0,16066059,0,0,3,2015-03-08 04:14:09,1808,3403487,293
18754.0,16066060,0,0,3,2015-03-08 04:45:15,1811,3413141,291
18754.0,16067001,0,0,3,2015-03-08 05:16:18,1894,3477890,276
18754.0,16067003,0,0,3,2015-03-08 05:50:29,1872,3452471,287
18754.0,16067004,0,0,3,2015-03-08 06:22:39,1558,2909441,256
18754.0,16067005,0,0,3,2015-03-08 06:49:43,1909,3621097,315
18754.0,16067006,0,0,3,2015-03-08 07:22:29,438,785495,128
18758.0,16067013,0,0,3,2015-03-08 13:54:41,1267,2082060,186
18758.0,16067014,0,0,3,2015-03-08 14:16:50,753,1323427,162
18758.0,16067015,0,0,3,2015-03-08 14:30:47,1806,3430444,326
18758.0,16067016,0,0,3,2015-03-08 15:01:52,1876,3641174,328
18758.0,16067017,0,0,3,2015-03-08 15:34:05,1818,3452009,302
18758.0,16067019,0,0,3,2015-03-08 16:26:18,1820,3423131,303
18758.0,16067020,0,0,3,2015-03-08 16:57:41,1832,3331809,295
18758.0,16067021,0,0,3,2015-03-08 17:29:14,1809,3343980,294
18758.0,16067022,0,0,3,2015-03-08 18:00:17,1686,3089701,274
18760.0,16067039,0,0,3,2015-03-09 01:43:51,2256,6020150,360
18760.0,16067040,0,0,3,2015-03-09 02:22:24,313,734590,84
18760.0,16067041,0,0,3,2015-03-09 02:28:37,1895,5008425,349
18760.0,16067042,0,0,3,2015-03-09 03:01:05,1997,5244441,371
18760.0,16067043,0,0,3,2015-03-09 03:35:14,1809,4568932,303
18760.0,16067044,0,0,3,2015-03-09 04:06:18,1754,3386834,190
18760.0,16067045,0,0,3,2015-03-09 04:36:58,39,59269,45
18760.0,16067046,0,0,3,2015-03-09 04:38:51,111,195789,47
18760.0,16067047,0,0,3,2015-03-09 04:46:39,103,179936,50
18760.0,16068001,0,0,3,2015-03-09 05:04:28,1699,4064100,278
18760.0,16068003,0,0,3,2015-03-09 05:37:28,1865,4318811,297
18760.0,16068004,0,0,3,2015-03-09 06:09:36,1592,3715475,258
18760.0,16068005,0,0,3,2015-03-09 06:37:13,1915,4581005,308
18760.0,16068006,0,0,3,2015-03-09 07:10:03,1850,4357534,293
18760.0,16068007,0,0,3,2015-03-09 07:49:08,1824,4061409,264
18760.0,16068008,0,0,3,2015-03-09 08:20:35,1918,4631113,320
18760.0,16068009,0,0,3,2015-03-09 08:53:31,1982,4505925,288
18760.0,16068010,0,0,3,2015-03-09 09:27:30,888,1905064,164
18761.0,16068012,0,0,3,2015-03-09 10:55:30,1614,4468607,309
18761.0,16068013,0,0,3,2015-03-09 11:23:31,553,1358731,141
18761.0,16068014,0,0,3,2015-03-09 11:33:42,2030,5289224,365
18761.0,16068015,0,0,3,2015-03-09 12:08:30,1833,4728570,342
18761.0,16068016,0,0,3,2015-03-09 12:40:09,1663,4169999,287
18761.0,16068017,0,0,3,2015-03-09 13:13:46,433,782242,83
18761.0,16068018,0,0,3,2015-03-09 13:22:05,2383,5702345,369
18761.0,16068021,0,0,3,2015-03-09 14:06:57,1790,2712818,228
18761.0,16068022,0,0,3,2015-03-09 14:53:04,2002,3690183,308
18761.0,16068023,0,0,3,2015-03-09 15:31:19,603,1171011,151
18761.0,16068024,0,0,3,2015-03-09 15:42:31,1995,3941337,339
18761.0,16068025,0,0,3,2015-03-09 16:16:44,1033,2076247,205
18761.0,16068028,0,0,3,2015-03-09 16:39:47,839,1698522,198
18761.0,16068029,0,0,3,2015-03-09 17:03:23,2064,4214517,346
18761.0,16068030,0,0,3,2015-03-09 17:39:15,1917,3752177,300
18761.0,16068032,0,0,3,2015-03-09 18:15:51,1996,4045194,317
18761.0,16068034,0,0,3,2015-03-09 18:52:39,1818,3593015,300
18761.0,16068035,0,0,3,2015-03-09 19:23:46,2021,4066776,322
18761.0,16068036,0,0,3,2015-03-09 20:06:48,1814,3723884,316
18761.0,16068037,0,0,3,2015-03-09 20:37:56,1481,2183151,204
18761.0,16068038,0,0,3,2015-03-09 21:03:33,1854,3722506,300
18761.0,16068039,0,0,3,2015-03-09 21:35:26,1842,3717636,293
